numInstances,exactMatch,hammingScore,exampleAccuracy,exampleF1
1,0.0,0.9298260869565249,0.0,0.0
2,0.0,0.9294782608695684,0.0,0.0
3,0.002,0.9290434782608729,0.0036666666666666666,0.004333333333333333
4,0.01,0.9272173913043512,0.011,0.011333333333333332
5,0.044,0.9315652173913075,0.07783333333333332,0.09046666666666664
6,0.094,0.93330434782609,0.14290000000000003,0.16110476190476183
7,0.13,0.936782608695655,0.21016666666666667,0.24034285714285727
8,0.13,0.9337391304347856,0.2585333333333332,0.3071238095238094
9,0.162,0.9349565217391334,0.29523333333333324,0.34454761904761894
10,0.16,0.9316521739130466,0.33601904761904733,0.39941904761904745
11,0.184,0.9340000000000029,0.31906904761904764,0.3695634920634922
12,0.186,0.937565217391307,0.3202666666666665,0.36954285714285695
13,0.146,0.9331304347826117,0.3194666666666665,0.3825285714285713
14,0.194,0.9361739130434811,0.34918571428571443,0.4077285714285711
15,0.198,0.9379130434782637,0.3597666666666663,0.41838095238095224
16,0.178,0.9327826086956552,0.3650666666666666,0.4337777777777777
17,0.062,0.9033913043478308,0.2950523809523812,0.3880238095238098
18,0.178,0.936086956521742,0.37195238095238065,0.4416285714285713
19,0.168,0.9331304347826117,0.34784999999999966,0.41330158730158706
20,0.196,0.9393913043478287,0.37773333333333325,0.44144761904761876
21,0.194,0.9336521739130464,0.37743333333333323,0.445914285714286
22,0.18,0.9337391304347856,0.3745333333333333,0.4446857142857141
23,0.17,0.931217391304351,0.36963333333333304,0.44439047619047617
24,0.192,0.9354782608695681,0.3993666666666664,0.4731809523809524
25,0.176,0.9330434782608725,0.397583333333333,0.47709682539682574
26,0.19,0.932608695652177,0.38847619047619053,0.46183809523809555
