numInstances,exactMatch,hammingScore,exampleAccuracy,exampleF1
1,0.03,0.7649999999999999,0.3560039682539682,0.46146248196248174
2,0.07,0.7907142857142866,0.44340476190476186,0.5647900432900429
3,0.11,0.7921428571428574,0.4616865079365081,0.5725909090909088
4,0.1,0.7757142857142861,0.4686468253968252,0.5859438894438892
5,0.12,0.7835714285714288,0.4828253968253967,0.6014033189033186
6,0.07,0.7835714285714286,0.4933769841269841,0.6190434010434008
7,0.14,0.7892857142857141,0.49716269841269844,0.6105252525252525
8,0.15,0.794285714285715,0.5230277777777775,0.6344868464868464
9,0.1,0.767857142857143,0.4666547619047621,0.5827929292929295
10,0.1,0.7835714285714288,0.4826309523809524,0.5946060606060604
11,0.13,0.7757142857142851,0.46435714285714297,0.5729669774669774
12,0.1,0.7871428571428573,0.44813492063492044,0.5497099567099566
13,0.16,0.8057142857142857,0.5330569985569985,0.6434857364857361
14,0.12,0.7864285714285715,0.47871825396825396,0.5972453102453102
15,0.19,0.7985714285714289,0.5328730158730156,0.6415593295593297
16,0.19,0.7799999999999997,0.5142341269841268,0.61684287934288
17,0.15,0.7685714285714282,0.48917857142857135,0.5913421578421585
18,0.15,0.7942857142857147,0.534424603174603,0.6526269286269292
19,0.16,0.7821428571428573,0.5136269841269837,0.6228686313686321
20,0.2,0.8007142857142857,0.5393888888888888,0.6459898989899
21,0.16,0.7914285714285717,0.5409126984126982,0.6557108447108455
22,0.14,0.7764285714285712,0.49257539682539675,0.6054806859806869
23,0.12,0.7992857142857146,0.5213571428571427,0.6401695526695534
24,0.28,0.8121428571428573,0.5740396825396826,0.6752469197469207
