numInstances,exactMatch,hammingScore,exampleAccuracy,exampleF1
1,0.159,0.926363636363643,0.47636428571428596,0.5830468253968247
2,0.158,0.9220454545454618,0.48315952380952426,0.5934793650793648
3,0.181,0.9244090909090962,0.4998416666666672,0.6062216450216454
4,0.177,0.916863636363642,0.5203306277056281,0.634709928959932
5,0.15,0.9178636363636421,0.5102191558441554,0.6307916305916321
6,0.218,0.9314545454545506,0.5676761904761888,0.678926984126985
7,0.164,0.9168636363636404,0.541698484848484,0.6626591353091382
8,0.187,0.9250454545454608,0.5606548701298684,0.6764090187590208
9,0.187,0.9176818181818217,0.5417694444444444,0.6589327505827541
10,0.159,0.9158181818181871,0.5269357142857126,0.6436424242424269
11,0.199,0.9174545454545497,0.5405011904761905,0.6541294372294418
12,0.209,0.9210000000000039,0.5471449134199128,0.6599342435342465
13,0.213,0.9222272727272756,0.5646257936507919,0.6765863636363664
14,0.177,0.91654545454546,0.533416666666666,0.6506550505050545
15,0.219,0.9232272727272778,0.5721924603174594,0.6844608946608987
16,0.238,0.9240000000000049,0.5803059523809498,0.6893974414474453
17,0.205,0.9234545454545497,0.5606286075036068,0.6753693362193393
18,0.261,0.9267272727272768,0.5959873015872998,0.703243162393167
19,0.203,0.917409090909094,0.542232936507937,0.6574850038850094
20,0.191,0.9170454545454582,0.5322091269841266,0.6477852702852726
21,0.082,0.889090909090913,0.3536579365079355,0.4570713564213614
22,0.202,0.9255000000000059,0.5474738095238099,0.6577216450216455
23,0.199,0.9253181818181863,0.5670710317460307,0.682357503607503
24,0.197,0.9238181818181861,0.5570797619047628,0.6752375901875894
25,0.223,0.9240454545454588,0.5791575396825387,0.6919408535908537
26,0.182,0.9109090909090953,0.5025785714285745,0.6160486957486997
27,0.005,0.8529545454545467,0.17454563492063604,0.2629777777777798
