numInstances,exactMatch,hammingScore,exampleAccuracy,exampleF1
1,0.003,0.9477500000000154,0.003,0.003
2,0.002,0.9491500000000167,0.0025,0.0026666666666666666
3,0.047,0.9506000000000135,0.0485,0.048999999999999995
4,0.039,0.948700000000012,0.0395,0.03966666666666666
5,0.024,0.9486000000000134,0.0255,0.025999999999999995
6,0.017,0.949800000000016,0.0175,0.01766666666666666
7,0.047,0.950750000000014,0.0485,0.049
8,0.09,0.9530000000000121,0.0905,0.09066666666666667
9,0.061,0.9496000000000107,0.062,0.062333333333333345
10,0.059,0.9497000000000111,0.059,0.05900000000000001
11,0.101,0.9521500000000095,0.101,0.10100000000000002
12,0.106,0.9530500000000102,0.107,0.10733333333333336
13,0.152,0.9543000000000068,0.1535,0.15399999999999997
14,0.159,0.953500000000005,0.1595,0.15966666666666665
15,0.185,0.9561000000000056,0.1865,0.18699999999999997
16,0.213,0.9569000000000033,0.213,0.213
17,0.147,0.9540000000000068,0.147,0.147
18,0.134,0.9534000000000077,0.1345,0.13466666666666668
19,0.228,0.9582000000000034,0.228,0.22800000000000004
