numInstances,exactMatch,hammingScore,exampleAccuracy,exampleF1
1,0.076,0.9069545454545487,0.24379523809523873,0.31302619047619046
2,0.073,0.9081818181818208,0.2603523809523819,0.3381285714285717
3,0.081,0.9091363636363676,0.2841857142857152,0.3677476190476198
4,0.073,0.9079090909090964,0.2734968253968265,0.3547904761904772
5,0.077,0.9058636363636406,0.26233333333333436,0.3391056277056279
6,0.095,0.9095454545454582,0.27889682539682614,0.35542380952380964
7,0.084,0.9128181818181882,0.3012511904761912,0.38899603174603314
8,0.09,0.9132727272727325,0.30186190476190555,0.388159523809525
9,0.087,0.9073636363636404,0.28367857142857195,0.36604523809523803
10,0.085,0.9070909090909122,0.2761206349206355,0.35575
11,0.058,0.9049090909090948,0.25710952380952434,0.34032619047619067
12,0.073,0.9055909090909119,0.2602011904761912,0.33970079365079325
13,0.1,0.9187272727272817,0.3498547619047629,0.4474476190476221
14,0.094,0.9123181818181871,0.3130595238095239,0.4036738095238104
15,0.096,0.9107727272727323,0.3061694444444447,0.3930984126984134
16,0.12,0.9120000000000047,0.3325773809523811,0.4220603174603176
17,0.085,0.9065909090909129,0.2931011904761907,0.38059603174603174
18,0.094,0.9086818181818225,0.28043015873015964,0.3581380952380953
19,0.074,0.9064090909090924,0.2933476190476186,0.3868277777777777
20,0.104,0.9106363636363646,0.29795357142857143,0.3808817460317458
21,0.099,0.9170454545454607,0.3356702380952388,0.4299865079365102
22,0.074,0.9134545454545471,0.1448761904761918,0.17459761904762133
23,0.083,0.9096818181818255,0.24293253968254144,0.30713412698412984
24,0.084,0.9125909090909159,0.23858134920635102,0.29972222222222517
25,0.103,0.9161363636363729,0.2810809523809543,0.35023968253968624
26,0.081,0.9095000000000082,0.25164642857143077,0.317255555555559
27,0.104,0.9166363636363714,0.23993730158730356,0.2933190476190501
28,0.476,0.9596818181818192,0.49400000000000327,0.5000000000000016
