numInstances,exactMatch,hammingScore,exampleAccuracy,exampleF1
1,0.019,0.949600000000016,0.0195,0.01966666666666667
2,0.062,0.951000000000013,0.0635,0.064
3,0.114,0.9493500000000061,0.115,0.11533333333333333
4,0.321,0.9595499999999961,0.349,0.35846666666666693
5,0.37,0.9617499999999943,0.4176499999999999,0.4340666666666676
6,0.36,0.9596499999999927,0.43566666666666654,0.46143333333333525
7,0.385,0.95764999999999,0.47633333333333294,0.5084000000000023
8,0.276,0.9401499999999865,0.4149166666666657,0.4646333333333364
9,0.384,0.9561499999999882,0.48383333333333267,0.5194666666666693
10,0.327,0.9518499999999888,0.4514999999999993,0.4952333333333362
11,0.324,0.9504499999999887,0.4563166666666657,0.5036666666666697
12,0.359,0.951849999999988,0.48733333333333245,0.5331000000000032
13,0.309,0.9466999999999891,0.46346666666666575,0.5189000000000018
14,0.326,0.9492499999999878,0.49328333333333196,0.554066666666668
15,0.336,0.9530999999999905,0.4674833333333324,0.5146333333333365
16,0.314,0.9487999999999895,0.4378166666666654,0.4838523809523831
17,0.363,0.9523499999999879,0.4754833333333324,0.5164333333333353
18,0.261,0.9401499999999857,0.4687333333333302,0.5490666666666687
