numInstances,exactMatch,hammingScore,exampleAccuracy,exampleF1
1,0.154,0.9217727272727315,0.4052496753246749,0.4973799145299158
2,0.156,0.9284545454545537,0.47337857142857287,0.5794404761904731
3,0.158,0.9243181818181888,0.4665619047619054,0.5733158730158716
4,0.17,0.9220909090909126,0.41582142857142823,0.5053381673881686
5,0.21,0.928500000000007,0.4848714285714294,0.5779888888888877
6,0.238,0.9314545454545533,0.4997460317460326,0.588835064935064
7,0.264,0.9360000000000076,0.5423178571428585,0.6359341269841251
8,0.25,0.9371818181818267,0.5505380952380954,0.6487468253968222
9,0.248,0.9352727272727339,0.5566630952380944,0.6552334054834024
10,0.222,0.9326818181818275,0.5365769841269841,0.6375694083694049
11,0.23,0.9316818181818267,0.5159011904761914,0.6112666666666651
12,0.265,0.9315454545454619,0.5318630952380954,0.6237463924963923
13,0.308,0.9414545454545531,0.5833249999999988,0.6742947330447315
14,0.276,0.9380000000000075,0.5721642857142828,0.6649753968253949
15,0.245,0.9337727272727353,0.5474499999999989,0.6469174603174582
16,0.288,0.936363636363644,0.5646488095238078,0.6558539682539675
17,0.294,0.938136363636372,0.5727103174603159,0.6630412698412691
18,0.289,0.9382272727272816,0.5639853174603155,0.6538033189033171
19,0.33,0.9380909090909155,0.5948869047619029,0.6835357142857139
20,0.282,0.9348636363636432,0.5525047619047624,0.6465190476190473
21,0.302,0.9397272727272804,0.5802059523809506,0.670506349206348
22,0.149,0.9202272727272754,0.3399690476190467,0.40941111111111045
23,0.25,0.9319545454545527,0.5078603174603173,0.5955398268398251
24,0.276,0.9376363636363698,0.5351789682539678,0.6214865079365055
25,0.32,0.9415909090909163,0.5775547619047615,0.6645499999999978
26,0.297,0.9380909090909165,0.570823412698412,0.6621549062049034
27,0.306,0.9376818181818244,0.539023412698414,0.6204303030303023
28,0.055,0.9242727272727331,0.1918666666666693,0.2449333333333356
