numInstances,exactMatch,hammingScore,exampleAccuracy,exampleF1
1,0.0,0.9697864077669865,0.0016330484304560972,0.0025875513982458478
2,0.0,0.9855922330097046,-1.3877787807814457E-19,1.3877787807814457E-19
3,0.0,0.9865242718446556,-1.3877787807814457E-19,1.3877787807814457E-19
4,0.0,0.9867961165048497,-1.3877787807814457E-19,1.3877787807814457E-19
5,0.0,0.9864077669902869,-1.3877787807814457E-19,1.3877787807814457E-19
6,0.0,0.9853980582524238,-1.3877787807814457E-19,1.3877787807814457E-19
7,0.0,0.9859029126213552,-1.3877787807814457E-19,1.3877787807814457E-19
8,0.0,0.9854368932038797,-1.3877787807814457E-19,1.3877787807814457E-19
9,0.0,0.9857864077669862,-1.3877787807814457E-19,1.3877787807814457E-19
10,0.0,0.9853980582524231,-1.3877787807814457E-19,1.3877787807814457E-19
11,0.0,0.9853980582524235,-1.3877787807814457E-19,1.3877787807814457E-19
12,0.0,0.9858252427184425,0.001333333333333333,0.002
13,0.016,0.9862524271844617,0.018,0.018666666666666665
14,0.092,0.9867184466019387,0.10466666666666666,0.10933333333333332
15,0.184,0.9872233009708725,0.21666666666666665,0.22956190476190472
16,0.148,0.9868349514563087,0.17033333333333325,0.1781333333333333
17,0.196,0.9878446601941726,0.22433333333333325,0.23413333333333328
18,0.256,0.9876504854368924,0.26946666666666663,0.27453333333333335
19,0.22,0.9881553398058238,0.2556666666666666,0.26800000000000024
20,0.204,0.9878446601941726,0.2277999999999999,0.2361333333333337
21,0.188,0.9869514563106777,0.2292666666666666,0.24409523809523842
22,0.172,0.9862524271844642,0.21359999999999987,0.22815238095238127
23,0.216,0.9875728155339788,0.23079999999999987,0.23647619047619087
24,0.168,0.9868737864077651,0.19966666666666655,0.2099619047619051
