numInstances,exactMatch,hammingScore,exampleAccuracy,exampleF1
1,0.013,0.9287499999999932,0.023128616198616198,0.02728646812957157
2,0.0,0.929249999999992,0.003366666666666664,0.004966666666666656
3,0.0,0.934357142857133,-2.6645352591003758E-18,-1.0880185641326535E-17
4,0.0,0.9293571428571357,-2.6645352591003758E-18,-1.0880185641326535E-17
5,0.0,0.9303928571428512,-2.6645352591003758E-18,-1.0880185641326535E-17
6,0.0,0.9329642857142778,-2.6645352591003758E-18,-1.0880185641326535E-17
7,0.0,0.9309999999999915,4.999999999999973E-4,6.666666666666558E-4
8,0.0,0.9319642857142783,-2.6645352591003758E-18,-1.0880185641326535E-17
9,0.0,0.9345714285714186,-2.6645352591003758E-18,-1.0880185641326535E-17
10,0.0,0.9314285714285692,0.0010833333333333307,0.0015666666666666557
11,0.001,0.9275000000000022,0.0019166666666666642,0.0021999999999999893
12,0.01,0.9297500000000014,0.028483333333333326,0.03536666666666665
13,0.002,0.9278214285714292,0.008633333333333326,0.01153809523809522
14,0.012,0.9254999999999999,0.02251666666666666,0.026666666666666644
15,0.025,0.9326428571428559,0.048616666666666655,0.058333333333333244
16,0.037,0.9303214285714291,0.07140952380952377,0.08490238095238094
17,0.033,0.9288928571428584,0.054316666666666666,0.06266666666666655
18,0.001,0.9283571428571408,0.002249999999999981,0.0027333333333332487
19,0.011,0.9253928571428606,0.016199999999999982,0.01833333333333325
20,0.001,0.9308214285714257,9.999999999999803E-4,9.999999999999191E-4
21,0.0,0.9262142857142842,0.0023666666666666467,0.003333333333333252
22,0.001,0.9299999999999978,0.003333333333333314,0.004433333333333253
23,0.001,0.9283214285714285,0.0025666666666666485,0.0031904761904761095
24,0.001,0.9277142857142864,0.004249999999999983,0.005652380952380872
25,0.002,0.9263928571428574,0.003949999999999983,0.0047333333333332535
26,0.003,0.9293928571428564,0.005583333333333316,0.006566666666666587
27,0.001,0.9266785714285722,0.0034833333333333166,0.00469999999999992
28,0.003,0.9292142857142857,0.006672222222222204,0.008263636363636282
29,0.002,0.9264999999999999,0.007733333333333317,0.010147619047618968
30,0.002,0.9305357142857127,0.007399999999999985,0.009657142857142776
31,0.005,0.9292857142857126,0.009766666666666653,0.011833333333333246
32,0.003,0.928892857142856,0.007349999999999988,0.009366666666666582
33,0.006,0.931892857142855,0.01603333333333332,0.020099999999999913
34,0.002,0.9271785714285721,0.007699999999999986,0.01020476190476181
35,0.001,0.9260714285714285,0.00518333333333332,0.007138095238095142
36,0.002,0.9316785714285689,0.006166666666666654,0.007833333333333236
37,0.006,0.9299285714285705,0.01828333333333332,0.023304761904761807
38,0.052,0.9301428571428586,0.10519444444444437,0.126352380952381
39,0.058,0.9241428571428608,0.11424404761904758,0.1371238095238096
40,0.016,0.9219285714285744,0.02888015873015868,0.0348571428571429
41,0.002,0.9298214285714267,0.005533333333333289,0.006966666666666709
42,0.001,0.9281785714285703,0.0018333333333332886,0.0022857142857143267
43,0.004,0.9257142857142833,0.008916666666666621,0.011285714285714328
44,0.002,0.9259642857142867,0.005283333333333287,0.006733333333333373
45,0.003,0.925392857142857,0.006833333333333287,0.008419047619047661
46,0.012,0.9280714285714271,0.02941666666666661,0.03652380952380957
47,0.011,0.9256785714285719,0.022416666666666616,0.027242857142857176
48,0.032,0.924214285714288,0.07227738095238094,0.08837936507936514
