numInstances,exactMatch,hammingScore,exampleAccuracy,exampleF1
1,0.05,0.7664285714285712,0.3908650793650792,0.4958730158730157
2,0.12,0.7950000000000002,0.4906428571428569,0.6051630591630588
3,0.17,0.7949999999999998,0.4946388888888889,0.6015620490620489
4,0.12,0.7821428571428575,0.4846349206349204,0.6013984348984347
5,0.15,0.7942857142857145,0.5212619047619046,0.6403837828837825
6,0.1,0.7828571428571433,0.4978650793650792,0.6206047286047289
7,0.16,0.7921428571428573,0.5146944444444445,0.6286221001221005
8,0.17,0.8007142857142863,0.5422301587301582,0.6532465867465871
9,0.11,0.7671428571428577,0.4824047619047615,0.6004388389388398
10,0.18,0.7842857142857145,0.5035396825396825,0.6085692640692649
11,0.1,0.762857142857142,0.4535515873015874,0.571680708180709
12,0.12,0.787142857142857,0.4788253968253965,0.5874430014430021
13,0.21,0.8107142857142859,0.556771284271284,0.6633167388167388
14,0.13,0.7792857142857141,0.48139285714285696,0.5983744033744037
15,0.15,0.7921428571428574,0.5192857142857141,0.6334372294372297
16,0.2,0.779285714285714,0.5139523809523809,0.618393051393052
17,0.16,0.7699999999999997,0.4815396825396823,0.5828297258297265
18,0.13,0.7921428571428583,0.5167936507936505,0.6387474747474751
19,0.16,0.7785714285714288,0.5047420634920631,0.6164314019314027
20,0.19,0.7942857142857145,0.5323690476190475,0.6441118326118337
21,0.14,0.7935714285714295,0.5339999999999995,0.6506352536352544
22,0.1,0.7664285714285711,0.46739285714285694,0.5828977133977149
23,0.12,0.8021428571428573,0.5265,0.6399971139971155
24,0.2,0.8128571428571432,0.5687182539682536,0.6772525807525825
