numInstances,exactMatch,hammingScore,exampleAccuracy,exampleF1
1,0.0,0.9245283018867925,0.0,0.0
2,0.0,0.9150943396226415,0.0,0.0
3,0.0,0.6477987421383647,0.006944444444444444,0.01360544217687075
4,0.0,0.4858490566037736,0.005208333333333333,0.010204081632653062
5,0.0,0.3886792452830189,0.004166666666666667,0.00816326530612245
6,0.0,0.47798742138364786,0.003472222222222222,0.006802721088435375
7,0.0,0.5417789757412399,0.002976190476190476,0.005830903790087464
8,0.0,0.5919811320754718,0.0026041666666666665,0.005102040816326531
9,0.0,0.628930817610063,0.0023148148148148147,0.0045351473922902496
10,0.0,0.6584905660377359,0.022083333333333337,0.03741496598639456
11,0.0,0.6861063464837049,0.06553030303030304,0.09461966604823747
12,0.0,0.6462264150943396,0.06385732323232322,0.09398107068914523
13,0.0,0.6676342525399129,0.05894522144522144,0.08675175755921097
14,0.0,0.6900269541778977,0.09044913419913418,0.12817425106688637
15,0.06666666666666667,0.7106918238993711,0.15108585858585857,0.1862959676624273
16,0.0625,0.7275943396226416,0.17289299242424241,0.21631913635019223
17,0.11764705882352941,0.7436182019977804,0.22154634581105168,0.26241801068253384
18,0.16666666666666666,0.757861635220126,0.264793771043771,0.30339478786683755
19,0.21052631578947367,0.7706057596822246,0.3034888357256778,0.3400582200843724
20,0.25,0.7820754716981133,0.3383143939393939,0.3730553090801538
21,0.2857142857142857,0.7924528301886793,0.3698232323232323,0.402909818171575
22,0.3181818181818182,0.8018867924528302,0.39846763085399445,0.43005028098195797
23,0.34782608695652173,0.8105004101722725,0.4246212121212121,0.4548307035479598
24,0.375,0.8183962264150945,0.4485953282828283,0.4775460909001281
25,0.4,0.8256603773584906,0.47065151515151515,0.498444247264123
26,0.38461538461538464,0.8316400580551525,0.471780303030303,0.5049143403180669
27,0.4074074074074074,0.8378756114605173,0.49134399551066216,0.5232508462322126
28,0.42857142857142855,0.8436657681940701,0.5095102813852813,0.5402776017239194
29,0.4482758620689655,0.849056603773585,0.5264237199582027,0.5561300982161981
30,0.4666666666666667,0.8540880503144656,0.542209595959596,0.5709257616089914
31,0.4838709677419355,0.8587948874010957,0.5569770283479961,0.5847668660732175
32,0.46875,0.8614386792452831,0.5473839962121212,0.5789929015084294
33,0.48484848484848486,0.8656375071469411,0.5610996326905417,0.5917506923718103
34,0.5,0.8695893451720311,0.5740084670231729,0.60375802494911
35,0.5142857142857142,0.8733153638814016,0.5861796536796536,0.6150792242362784
36,0.5277777777777778,0.8768343815513627,0.5976746632996632,0.6257714680074928
37,0.5405405405405406,0.8801631820499746,0.608548321048321,0.6358857526559389
38,0.5526315789473685,0.8833167825223436,0.6188496810207337,0.6454677065334142
39,0.5641025641025641,0.8863086598935656,0.6286227661227661,0.6545582781607626
40,0.575,0.8891509433962265,0.637907196969697,0.6631943212067435
41,0.5853658536585366,0.8918545789231478,0.6467387287509239,0.6714090938602376
42,0.5952380952380952,0.894429469901168,0.6551497113997113,0.6792326868635653
43,0.6046511627906976,0.8968845985081176,0.6631694855532064,0.6866923918202266
44,0.5909090909090909,0.8983704974271013,0.6480974517906336,0.671085746551585
45,0.6,0.9006289308176101,0.6559175084175084,0.678394952183772
46,0.6086956521739131,0.9027891714520099,0.6633975625823452,0.6853863662667335
47,0.6170212765957447,0.9048574869530309,0.6705593165699548,0.6920802733674413
48,0.625,0.9068396226415095,0.6774226641414142,0.6984952676722863
49,0.6326530612244898,0.9087408548324991,0.6840058750773036,0.7046484254748927
50,0.64,0.9105660377358491,0.6903257575757575,0.7105554569653948
51,0.6274509803921569,0.9119496855345912,0.6865938799762329,0.7096948924497335
52,0.6346153846153846,0.9136429608127722,0.6926209207459207,0.7152776829795463
53,0.6415094339622641,0.9152723389106444,0.6984205260148656,0.7206498021686114
54,0.6481481481481481,0.9168413696715584,0.7040053310886644,0.7258229539803038
55,0.6545454545454545,0.9183533447684392,0.7093870523415978,0.7308079911806619
56,0.6607142857142857,0.919811320754717,0.7145765692640692,0.7356149913381501
57,0.6491228070175439,0.9208871234690501,0.7108120680489102,0.7344053716070714
58,0.6551724137931034,0.9222511385816526,0.7157980668756531,0.7389845893379839
59,0.6610169491525424,0.9235689158938281,0.7206150487930149,0.7434085793492046
60,0.65,0.9242138364779875,0.7086047979797979,0.7310184363600511
61,0.6557377049180327,0.9254562326012992,0.7133817685047193,0.7354279701902142
62,0.6612903225806451,0.9266585514303105,0.7180046432062561,0.739695260993598
63,0.6666666666666666,0.9278227014076071,0.72248075998076,0.7438270822476678
64,0.671875,0.9289504716981133,0.7268169981060606,0.747829784087548
65,0.676923076923077,0.9300435413642961,0.7310198135198135,0.7517093258708165
66,0.6818181818181818,0.9311034877072614,0.7350952708907255,0.7554713057818647
67,0.6865671641791045,0.9321317938608843,0.7390490728177296,0.7591209877851205
68,0.6911764705882353,0.9331298557158714,0.742886586452763,0.7626633262000452
69,0.6956521739130435,0.9340989882417283,0.74661286780852,0.7661029881391749
70,0.7,0.9350404312668466,0.750232683982684,0.769444374022901
71,0.704225352112676,0.9359553547701304,0.7537505335040546,0.7726916363606067
72,0.7083333333333334,0.9368448637316563,0.757170664983165,0.7758486969667093
73,0.7123287671232876,0.9377100025846473,0.7604970942299709,0.7789192627616859
74,0.7162162162162162,0.9385517593064765,0.76373361998362,0.7819068402919334
75,0.72,0.9393710691823901,0.7668838383838383,0.7848147490880409
76,0.7236842105263158,0.9401688182720955,0.7699511562998405,0.7876461339684614
77,0.7272727272727273,0.9409458466062242,0.7729388036206218,0.7904039763844555
78,0.7307692307692307,0.9417029511369136,0.7758498445998446,0.793091104892347
79,0.7341772151898734,0.9424408884642944,0.778687188339087,0.7957102048304187
80,0.7375,0.9431603773584907,0.7814535984848485,0.7982638272700384
81,0.7407407407407407,0.9438621010948056,0.7841517022072577,0.8007543973037416
82,0.7439024390243902,0.9445467096180398,0.7867839985218034,0.8031842217268668
83,0.7469879518072289,0.9452148215503525,0.7893528660094925,0.8055554961638925
84,0.75,0.9458670260557055,0.79186056998557,0.807870311685751
85,0.7529411764705882,0.9465038845726972,0.7943092691622103,0.8101306609600362
86,0.7647058823529411,0.9473917869034407,0.8060739750445632,0.8218953668423892
87,0.7764705882352941,0.9485016648168703,0.8178386809269163,0.8336600727247421
88,0.788235294117647,0.9589345172031079,0.8293582887700536,0.8449445865302643
89,0.8,0.9706992230854607,0.8411229946524065,0.8567092924126172
90,0.8117647058823529,0.9824639289678138,0.8528877005347594,0.8684739982949701
91,0.8235294117647058,0.9833518312985573,0.8646524064171124,0.8802387041773231
92,0.8352941176470589,0.984239733629301,0.8764171122994653,0.892003410059676
93,0.8470588235294118,0.9849056603773587,0.8881818181818182,0.903768115942029
94,0.8588235294117647,0.9857935627081023,0.8999465240641712,0.9155328218243819
95,0.8705882352941177,0.9866814650388459,0.9093582887700535,0.9233759590792839
96,0.8823529411764706,0.9871254162042177,0.91524064171123,0.9272975277067348
97,0.8941176470588236,0.9964483906770256,0.9264705882352942,0.9380392156862746
98,0.9058823529411765,0.9973362930077693,0.9382352941176471,0.9498039215686275
99,0.9176470588235294,0.9975582685904553,0.9441176470588235,0.9537254901960784
100,0.9176470588235294,0.9975582685904553,0.9441176470588235,0.9537254901960784
101,0.9294117647058824,0.9977802441731412,0.95,0.9576470588235293
102,0.9294117647058824,0.9977802441731412,0.95,0.9576470588235293
103,0.9294117647058824,0.9977802441731412,0.95,0.9576470588235293
104,0.9294117647058824,0.9977802441731412,0.95,0.9576470588235293
105,0.9294117647058824,0.9977802441731412,0.95,0.9576470588235293
106,0.9176470588235294,0.9975582685904553,0.9441176470588235,0.9537254901960784
107,0.9058823529411765,0.9973362930077693,0.9382352941176471,0.9498039215686275
108,0.9058823529411765,0.9973362930077693,0.9382352941176471,0.9498039215686275
109,0.9058823529411765,0.9973362930077693,0.9382352941176471,0.9498039215686275
110,0.9058823529411765,0.9973362930077693,0.9382352941176471,0.9498039215686275
111,0.9176470588235294,0.9975582685904553,0.9441176470588235,0.9537254901960784
112,0.9176470588235294,0.9975582685904553,0.9441176470588235,0.9537254901960784
113,0.9176470588235294,0.9975582685904553,0.9441176470588235,0.9537254901960784
114,0.9176470588235294,0.9975582685904553,0.9441176470588235,0.9537254901960784
115,0.9176470588235294,0.9975582685904553,0.9441176470588235,0.9537254901960784
116,0.9176470588235294,0.9975582685904553,0.9441176470588235,0.9537254901960784
117,0.9294117647058824,0.998224195338513,0.9529411764705882,0.9607843137254901
118,0.9294117647058824,0.998224195338513,0.9529411764705882,0.9607843137254901
119,0.9294117647058824,0.998224195338513,0.9529411764705882,0.9607843137254901
120,0.9294117647058824,0.998224195338513,0.9529411764705882,0.9607843137254901
121,0.9294117647058824,0.998224195338513,0.9529411764705882,0.9607843137254901
122,0.9294117647058824,0.998224195338513,0.9529411764705882,0.9607843137254901
123,0.9294117647058824,0.998224195338513,0.9529411764705882,0.9607843137254901
124,0.9294117647058824,0.998224195338513,0.9529411764705882,0.9607843137254901
125,0.9176470588235294,0.998002219755827,0.9490196078431373,0.9584313725490194
126,0.9058823529411765,0.9968923418423975,0.9392156862745099,0.9500280112044818
127,0.8941176470588236,0.9964483906770256,0.9333333333333335,0.9461064425770308
128,0.8823529411764706,0.9962264150943396,0.9294117647058825,0.9437535014005601
129,0.8823529411764706,0.9962264150943396,0.9352941176470589,0.9515966386554622
130,0.8705882352941177,0.9953385127635961,0.9258823529411767,0.9437535014005601
131,0.8588235294117647,0.9944506104328525,0.9164705882352944,0.9359103641456582
132,0.8588235294117647,0.9944506104328525,0.9164705882352944,0.9359103641456582
133,0.8470588235294118,0.9942286348501665,0.9125490196078434,0.9335574229691875
134,0.8352941176470589,0.9940066592674806,0.9086274509803925,0.9312044817927169
135,0.8235294117647058,0.9937846836847946,0.9056862745098042,0.9295238095238094
136,0.8352941176470589,0.9940066592674806,0.9115686274509808,0.9334453781512603
137,0.8352941176470589,0.9940066592674806,0.9115686274509808,0.9334453781512603
138,0.8235294117647058,0.992896781354051,0.9017647058823534,0.9250420168067226
139,0.8117647058823529,0.9922308546059933,0.8947058823529417,0.9199999999999998
140,0.8,0.9915649278579354,0.8858823529411769,0.9129411764705881
141,0.788235294117647,0.9904550499445058,0.8774789915966392,0.9064052287581699
142,0.788235294117647,0.9900110987791341,0.874537815126051,0.903267973856209
143,0.7764705882352941,0.9886792452830186,0.862773109243698,0.8915032679738562
144,0.7647058823529411,0.9882352941176469,0.8549299719887961,0.8856209150326797
145,0.7647058823529411,0.9877913429522751,0.8549299719887961,0.8856209150326797
146,0.7529411764705882,0.9866814650388456,0.843165266106443,0.8738562091503267
147,0.7411764705882353,0.9857935627081019,0.8314005602240901,0.8620915032679738
148,0.7294117647058823,0.9851276359600442,0.8225770308123254,0.8550326797385621
149,0.7176470588235294,0.9846836847946724,0.8166946778711489,0.8511111111111112
150,0.7058823529411765,0.983351831298557,0.8066106442577036,0.8422875816993465
151,0.6941176470588235,0.9829078801331852,0.800728291316527,0.8383660130718955
152,0.6823529411764706,0.9822419533851274,0.7919047619047623,0.8313071895424838
153,0.6705882352941176,0.9817980022197557,0.7840616246498603,0.8254248366013074
154,0.6588235294117647,0.9813540510543839,0.7781792717086838,0.8215032679738564
155,0.6470588235294118,0.980910099889012,0.7722969187675074,0.8175816993464056
156,0.6352941176470588,0.9800221975582685,0.7605322128851545,0.8058169934640526
157,0.6235294117647059,0.9793562708102107,0.7487675070028015,0.7940522875816997
158,0.611764705882353,0.9791342952275247,0.7448459383753505,0.791699346405229
159,0.611764705882353,0.9791342952275247,0.7448459383753505,0.791699346405229
160,0.6,0.9786903440621529,0.7389635854341741,0.7877777777777781
161,0.5882352941176471,0.9778024417314093,0.7295518207282917,0.7799346405228761
162,0.5764705882352941,0.9769145394006657,0.7201400560224094,0.772091503267974
163,0.5647058823529412,0.9760266370699222,0.7083753501400565,0.7603267973856211
164,0.5529411764705883,0.9753607103218643,0.7013165266106447,0.7552847805788984
165,0.5411764705882353,0.9744728079911208,0.6919047619047624,0.7474416433239964
166,0.5294117647058824,0.9733629300776913,0.6835014005602245,0.7409056956115782
167,0.5176470588235295,0.9724750277469476,0.6740896358543422,0.7330625583566762
