numInstances,exactMatch,hammingScore,exampleAccuracy,exampleF1
1,0.09166666666666666,0.7446428571428567,0.41632605820105817,0.5260737873237871
2,0.08333333333333333,0.7619047619047626,0.5116071428571423,0.6356732619232623
3,0.09166666666666666,0.7553571428571425,0.5022667147667145,0.6268538174788173
4,0.08333333333333333,0.7648809523809522,0.5062003968253966,0.6322141284641281
5,0.14166666666666666,0.7928571428571431,0.5434821428571425,0.6572554297554292
6,0.125,0.7761904761904767,0.5267394179894178,0.6469363506863502
7,0.075,0.763690476190476,0.4926734607984606,0.6169809126059117
8,0.08333333333333333,0.767261904761904,0.4824636243386244,0.6002305564805558
9,0.08333333333333333,0.7547619047619047,0.4653042328042327,0.5846801346801342
10,0.175,0.7958333333333338,0.5603625541125538,0.6725557775557774
11,0.11666666666666667,0.7761904761904757,0.513525132275132,0.6365930365930358
12,0.175,0.7821428571428574,0.5351884920634915,0.6393192455692455
13,0.15,0.763690476190476,0.5006249999999994,0.6078569116069115
14,0.09166666666666666,0.7833333333333344,0.5323015873015869,0.6528709716209719
15,0.15,0.7833333333333335,0.5289186507936504,0.6422970547970547
16,0.175,0.7880952380952385,0.5404596560846561,0.6504193954193946
17,0.14166666666666666,0.7773809523809524,0.5169510582010579,0.6318867243867243
18,0.10833333333333334,0.7815476190476197,0.5085185185185183,0.6291726791726792
19,0.175,0.8047619047619051,0.5670965608465611,0.6807911532911526
