numInstances,exactMatch,hammingScore,exampleAccuracy,exampleF1
97,0.8762886597938144,0.9759450171821304,0.9226804123711341,0.9381443298969072
98,0.8775510204081632,0.976190476190476,0.923469387755102,0.9387755102040817
99,0.8787878787878788,0.9764309764309763,0.9242424242424242,0.9393939393939394
100,0.88,0.9766666666666666,0.925,0.94
101,0.8712871287128713,0.9752475247524751,0.9207920792079208,0.9372937293729373
102,0.8725490196078431,0.9754901960784312,0.9215686274509803,0.9379084967320261
103,0.8737864077669902,0.9757281553398057,0.9223300970873787,0.9385113268608415
104,0.875,0.9759615384615383,0.9230769230769231,0.9391025641025641
105,0.8761904761904762,0.976190476190476,0.9238095238095239,0.9396825396825397
106,0.8773584905660378,0.9764150943396225,0.9245283018867925,0.940251572327044
107,0.8785046728971962,0.9766355140186914,0.9252336448598131,0.940809968847352
108,0.8796296296296297,0.9768518518518517,0.9259259259259259,0.9413580246913581
109,0.8807339449541285,0.9770642201834862,0.926605504587156,0.9418960244648319
110,0.8727272727272727,0.9757575757575756,0.9227272727272727,0.9393939393939394
111,0.8738738738738738,0.9759759759759759,0.9234234234234234,0.9399399399399401
112,0.875,0.976190476190476,0.9241071428571429,0.9404761904761906
113,0.8761061946902655,0.9764011799410027,0.9247787610619469,0.9410029498525074
114,0.8771929824561403,0.9766081871345027,0.9254385964912281,0.9415204678362574
115,0.8782608695652174,0.9768115942028984,0.9260869565217391,0.9420289855072465
116,0.8793103448275862,0.9770114942528734,0.9267241379310345,0.942528735632184
117,0.8803418803418803,0.977207977207977,0.9273504273504274,0.9430199430199431
118,0.8813559322033898,0.9774011299435027,0.9279661016949152,0.9435028248587571
119,0.8823529411764706,0.9775910364145657,0.9285714285714286,0.9439775910364147
120,0.8833333333333333,0.9777777777777776,0.9291666666666667,0.9444444444444445
121,0.8833333333333333,0.9791666666666664,0.9333333333333333,0.9500000000000001
122,0.8916666666666667,0.9819444444444442,0.9416666666666667,0.9583333333333335
123,0.9,0.9833333333333331,0.95,0.9666666666666668
124,0.9,0.9833333333333331,0.95,0.9666666666666668
125,0.9,0.9833333333333331,0.95,0.9666666666666668
126,0.8916666666666667,0.9819444444444442,0.9458333333333333,0.963888888888889
127,0.8916666666666667,0.9819444444444442,0.9458333333333333,0.963888888888889
128,0.9,0.9833333333333331,0.95,0.9666666666666668
129,0.9,0.9833333333333331,0.95,0.9666666666666668
130,0.9,0.9833333333333331,0.95,0.9666666666666668
131,0.9,0.9833333333333331,0.95,0.9666666666666668
132,0.9083333333333333,0.984722222222222,0.9541666666666667,0.9694444444444446
133,0.9,0.9833333333333331,0.95,0.9666666666666668
134,0.9,0.9833333333333331,0.95,0.9666666666666668
135,0.9,0.9833333333333331,0.95,0.9666666666666668
136,0.9083333333333333,0.984722222222222,0.9541666666666667,0.9694444444444446
137,0.9166666666666666,0.9861111111111109,0.9583333333333334,0.9722222222222222
138,0.9166666666666666,0.9861111111111109,0.9583333333333334,0.9722222222222222
139,0.9083333333333333,0.984722222222222,0.9541666666666667,0.9694444444444446
140,0.9083333333333333,0.984722222222222,0.9541666666666667,0.9694444444444446
141,0.9083333333333333,0.984722222222222,0.9541666666666667,0.9694444444444446
142,0.9083333333333333,0.984722222222222,0.9541666666666667,0.9694444444444446
143,0.9083333333333333,0.984722222222222,0.9541666666666667,0.9694444444444446
144,0.9083333333333333,0.984722222222222,0.9541666666666667,0.9694444444444446
145,0.9083333333333333,0.984722222222222,0.9541666666666667,0.9694444444444446
146,0.9083333333333333,0.984722222222222,0.9541666666666667,0.9694444444444446
147,0.9,0.9833333333333331,0.95,0.9666666666666668
148,0.9,0.9833333333333331,0.95,0.9666666666666668
149,0.9,0.9833333333333331,0.95,0.9666666666666668
150,0.8916666666666667,0.9819444444444442,0.9458333333333333,0.963888888888889
151,0.8916666666666667,0.9819444444444442,0.9458333333333333,0.963888888888889
152,0.9,0.9833333333333331,0.95,0.9666666666666668
153,0.9,0.9833333333333331,0.95,0.9666666666666668
154,0.9,0.9833333333333331,0.95,0.9666666666666668
155,0.9,0.9833333333333331,0.95,0.9666666666666668
156,0.9,0.9833333333333331,0.95,0.9666666666666668
157,0.8916666666666667,0.9819444444444442,0.9458333333333333,0.963888888888889
158,0.8916666666666667,0.9819444444444442,0.9458333333333333,0.963888888888889
159,0.9,0.9833333333333331,0.95,0.9666666666666668
160,0.8916666666666667,0.9819444444444442,0.9458333333333333,0.963888888888889
161,0.8833333333333333,0.9805555555555553,0.9416666666666667,0.9611111111111114
162,0.875,0.9791666666666663,0.9375,0.9583333333333336
